,JURISDICTION_NAME,PERCENT_PACIFIC_ISLANDER,PERCENT_HISPANIC_LATINO,PERCENT_AMERICAN_INDIAN,PERCENT_ASIAN_NON_HISPANIC,PERCENT_WHITE_NON_HISPANIC,PERCENT_BLACK_NON_HISPANIC,PERCENT_OTHER_ETHNICITY
188,11434,0.0,0.0,0.0,0.0,0.0,1.0,0.0
189,11435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,11436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,11439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,11451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,11471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,11510,0.0,0.21,0.0,0.04,0.64,0.07,0.04
195,11548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,11566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,11577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,11580,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,11598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,11629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,11691,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202,11692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,11693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,11694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,11695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,11731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,11798,0.0,0.0,0.0,0.0,0.0,1.0,0.0
208,11968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,12423,0.0,0.0,0.0,0.0,0.9,0.0,0.05
210,12428,0.02,0.01,0.0,0.0,0.94,0.0,0.03
211,12435,0.0,0.0,0.0,0.0,0.91,0.0,0.09
212,12458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,12466,0.0,0.0,0.0,0.0,1.0,0.0,0.0
214,12473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,12528,0.0,0.0,0.0,0.0,0.88,0.0,0.12
216,12701,0.0,0.0,0.0,0.0,0.95,0.0,0.02
217,12733,0.0,0.0,0.0,0.0,1.0,0.0,0.0
218,12734,0.0,0.0,0.0,0.0,0.96,0.0,0.02
219,12737,0.0,0.0,0.0,0.0,1.0,0.0,0.0
220,12750,0.0,0.0,0.0,0.0,1.0,0.0,0.0
221,12751,0.0,0.0,0.0,0.0,1.0,0.0,0.0
222,12754,0.01,0.0,0.0,0.0,0.95,0.0,0.03
223,12758,0.0,0.0,0.0,0.0,0.93,0.0,0.07
224,12759,0.0,0.0,0.0,0.0,1.0,0.0,0.0
225,12763,0.0,0.0,0.0,0.0,1.0,0.0,0.0
226,12764,0.0,0.0,0.0,0.0,0.97,0.0,0.03
227,12768,0.0,0.0,0.0,0.0,0.97,0.0,0.02
228,12779,0.0,0.0,0.0,0.0,0.99,0.0,0.01
229,12783,0.0,0.0,0.01,0.0,0.97,0.0,0.01
230,12786,0.0,0.0,0.0,0.0,1.0,0.0,0.0
231,12788,0.0,0.0,0.0,0.0,0.98,0.0,0.02
232,12789,0.0,0.0,0.0,0.0,0.96,0.0,0.02
233,13731,0.0,0.0,0.0,0.0,0.88,0.0,0.12
234,16091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,20459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
